system,ion,q_label,charge_e,r_A,Phi_water_to_ion_kcal_mol_per_e,n_frames,coord_scale,ion_index,n_atoms,n_water_atoms,n_water_oxygens,max_o_distance_raw
1_K,K,q0.0,0.0000000000,13.600000,6.959281731995,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,13.700000,7.051555138381,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,13.800000,7.369526810292,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,13.900000,7.535882973398,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.000000,7.999298531711,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.100000,8.675472411954,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.200000,9.234546347801,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.300000,10.071348856001,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.400000,10.840676671252,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.500000,12.000090165638,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.600000,13.213164793901,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.700000,14.495472831838,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.800000,15.635503248638,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,14.900000,16.375792013458,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.0,0.0000000000,15.000000,17.105350275937,100000,1.0,0,3355,3354,1118,20.262162
1_K,K,q0.1,0.1000000000,0.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.200000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.300000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.400000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.500000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.600000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.700000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.800000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,0.900000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.000000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.100000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.200000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.300000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.400000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.500000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.600000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.700000,0.000000000000,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.800000,0.002386050369,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,1.900000,0.020958482817,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.000000,0.125420597112,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.100000,0.452876521056,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.200000,1.337685102561,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.300000,3.496081209853,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.400000,8.034970877839,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.500000,16.554252157090,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.600000,30.788554108329,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.700000,49.668739874613,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.800000,66.280833740443,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,2.900000,72.082714470671,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.000000,64.716803155948,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.100000,47.743365337281,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.200000,26.131495573004,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.300000,4.158835425616,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.400000,-15.006397748303,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.500000,-31.295907929397,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.600000,-43.521383065143,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.700000,-51.156624349637,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.800000,-54.873498959246,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,3.900000,-55.002719535160,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.000000,-52.536817238909,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.100000,-48.438852114669,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.200000,-43.685046507191,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.300000,-38.402861937819,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.400000,-32.682456075665,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.500000,-26.743946972153,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.600000,-20.450227817235,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.700000,-13.314077575573,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.800000,-6.467093628449,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,4.900000,0.690691648870,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.000000,7.302004103117,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.100000,13.715192776063,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.200000,18.981512659077,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.300000,22.739146962012,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.400000,24.251841307638,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.500000,23.778317214570,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.600000,21.200100014317,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.700000,16.381382911177,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.800000,10.078948298340,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,5.900000,3.475954978582,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.000000,-3.362838509328,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.100000,-8.738196653921,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.200000,-12.471364059538,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.300000,-15.414728031600,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.400000,-17.295280715519,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.500000,-18.180487995455,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.600000,-18.762741896252,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.700000,-18.754143061220,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.800000,-18.171752719005,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,6.900000,-17.204217648854,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.000000,-15.600124532934,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.100000,-14.133753817441,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.200000,-12.021151274474,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.300000,-9.992488170262,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.400000,-8.546196001676,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.500000,-6.892246649690,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.600000,-5.270026317211,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.700000,-4.159990865707,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.800000,-3.441225841896,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,7.900000,-2.675009592333,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.000000,-2.080542341875,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.100000,-1.935077221714,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.200000,-1.913804862538,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.300000,-1.980001065982,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.400000,-2.408851383411,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.500000,-3.079307771100,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.600000,-3.761646319434,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.700000,-4.731148068643,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.800000,-5.456090510963,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,8.900000,-5.986043942698,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.000000,-6.431534570335,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.100000,-7.047317691522,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.200000,-7.543657997744,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.300000,-8.036478595120,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.400000,-8.235318730776,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.500000,-8.204065595631,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.600000,-8.164028722299,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.700000,-8.110032404486,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.800000,-7.743418340308,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,9.900000,-7.589001559047,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.000000,-7.393629294148,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.100000,-7.313835566664,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.200000,-7.626835187814,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.300000,-7.605089458431,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.400000,-7.559041314436,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.500000,-7.510350489196,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.600000,-7.469694165382,100000,1.0,0,3355,3354,1118,20.309690
1_K,K,q0.1,0.1000000000,10.700000,-7.312197727210,100000,1.0,0,3355,3354,1118,20.309690
